date,miner,blocks,percent
2015-09-30,0xf8b483dba2c3b7176a3da549ad41a48bb3121069,236,0.04961109943241539
2015-10-01,*Outros,3186,0.6115163147792706
2015-10-01,0x2a65aca4d5fc5b5c859090a6c34d164135398226,239,0.04587332053742802
2015-10-01,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01,173,0.03320537428023033
2015-10-01,0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5,1418,0.27216890595009596
2015-10-01,0xf8b483dba2c3b7176a3da549ad41a48bb3121069,194,0.03723608445297505
2015-10-02,*Outros,3163,0.6150106941473849
2015-10-02,0x2a65aca4d5fc5b5c859090a6c34d164135398226,217,0.042193272409099744
2015-10-02,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01,161,0.03130468598094498
2015-10-02,0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5,1400,0.27221466070386935
2015-10-02,0xf8b483dba2c3b7176a3da549ad41a48bb3121069,202,0.03927668675870115
2015-10-03,*Outros,3141,0.6186724443569037
2015-10-03,0x2a65aca4d5fc5b5c859090a6c34d164135398226,219,0.043135710064999014
2015-10-03,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01,160,0.0315146740200906
2015-10-03,0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5,1305,0.257041559976364
2015-10-03,0xf8b483dba2c3b7176a3da549ad41a48bb3121069,252,0.0496356115816427
2015-10-04,*Outros,3020,0.6180925092099877
2015-10-04,0x2a65aca4d5fc5b5c859090a6c34d164135398226,182,0.03724928366762178
2015-10-04,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01,187,0.038272615636512484
2015-10-04,0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5,1262,0.2582889889480147
2015-10-04,0xf8b483dba2c3b7176a3da549ad41a48bb3121069,235,0.048096602537863284
2015-10-05,*Outros,2964,0.5917348772210022
2015-10-05,0x2a65aca4d5fc5b5c859090a6c34d164135398226,187,0.037332800958275104
2015-10-05,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01,264,0.05270513076462368
2015-10-05,0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5,1313,0.2621281692952685
2015-10-05,0xf8b483dba2c3b7176a3da549ad41a48bb3121069,281,0.0560990217608305
2015-10-06,*Outros,2782,0.5788597586350396
2015-10-06,0x2a65aca4d5fc5b5c859090a6c34d164135398226,220,0.04577611319184353
2015-10-06,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01,254,0.052850603412401165
2015-10-06,0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5,1237,0.2573866000832293
2015-10-06,0xf8b483dba2c3b7176a3da549ad41a48bb3121069,313,0.06512692467748647
2015-10-07,*Outros,2917,0.582933653077538
2015-10-07,0x2a65aca4d5fc5b5c859090a6c34d164135398226,270,0.0539568345323741
2015-10-07,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01,235,0.04696243005595523
2015-10-07,0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5,1284,0.2565947242206235
2015-10-07,0xf8b483dba2c3b7176a3da549ad41a48bb3121069,298,0.059552358113509195
2015-10-08,*Outros,2861,0.5553183229813664
2015-10-08,0x2a65aca4d5fc5b5c859090a6c34d164135398226,345,0.06696428571428571
2015-10-08,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01,373,0.07239906832298136
2015-10-08,0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5,1270,0.24650621118012422
2015-10-08,0xf8b483dba2c3b7176a3da549ad41a48bb3121069,303,0.05881211180124224
2015-10-09,*Outros,2752,0.5610601427115188
2015-10-09,0x2a65aca4d5fc5b5c859090a6c34d164135398226,369,0.07522935779816514
2015-10-09,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01,270,0.05504587155963303
2015-10-09,0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5,1219,0.24852191641182467
2015-10-09,0xf8b483dba2c3b7176a3da549ad41a48bb3121069,295,0.060142711518858305
2015-10-10,*Outros,2842,0.5804738562091503
2015-10-10,0x2a65aca4d5fc5b5c859090a6c34d164135398226,365,0.07455065359477124
2015-10-10,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01,304,0.06209150326797386
2015-10-10,0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5,1095,0.22365196078431374
2015-10-10,0xf8b483dba2c3b7176a3da549ad41a48bb3121069,290,0.05923202614379085
2015-10-11,*Outros,2835,0.5588409225310468
2015-10-11,0x2a65aca4d5fc5b5c859090a6c34d164135398226,411,0.08101714961561206
2015-10-11,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01,298,0.058742361521781986
2015-10-11,0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5,1248,0.24600827912477824
2015-10-11,0xf8b483dba2c3b7176a3da549ad41a48bb3121069,281,0.055391287206781
2015-10-12,*Outros,2906,0.5644910644910645
2015-10-12,0x2a65aca4d5fc5b5c859090a6c34d164135398226,438,0.08508158508158509
2015-10-12,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01,295,0.057303807303807304
2015-10-12,0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5,1213,0.23562548562548563
2015-10-12,0xf8b483dba2c3b7176a3da549ad41a48bb3121069,296,0.057498057498057496
2015-10-13,*Outros,2807,0.5495301487862176
2015-10-13,0x2a65aca4d5fc5b5c859090a6c34d164135398226,450,0.08809710258418167
2015-10-13,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01,293,0.05736100234925607
2015-10-13,0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5,1238,0.24236491777603758
2015-10-13,0xf8b483dba2c3b7176a3da549ad41a48bb3121069,320,0.06264682850430697
2015-10-14,*Outros,2750,0.5573571139035266
2015-10-14,0x2a65aca4d5fc5b5c859090a6c34d164135398226,406,0.08228617754357519
2015-10-14,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01,294,0.059586542359140654
2015-10-14,0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5,1165,0.2361167409809485
2015-10-14,0xf8b483dba2c3b7176a3da549ad41a48bb3121069,319,0.06465342521280908
2015-10-15,*Outros,2733,0.5548112058465287
2015-10-15,0x2a65aca4d5fc5b5c859090a6c34d164135398226,420,0.08526187576126674
2015-10-15,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01,320,0.06496142915144133
2015-10-15,0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5,1129,0.22919204222492895
2015-10-15,0xf8b483dba2c3b7176a3da549ad41a48bb3121069,324,0.06577344701583435
2015-10-16,*Outros,2751,0.5633831660864222
2015-10-16,0x2a65aca4d5fc5b5c859090a6c34d164135398226,429,0.08785582633626869
2015-10-16,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01,348,0.07126766332172844
2015-10-16,0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5,1029,0.21073110792545566
2015-10-16,0xf8b483dba2c3b7176a3da549ad41a48bb3121069,326,0.06676223633012493
2015-10-17,*Outros,2861,0.5658623417721519
2015-10-17,0x2a65aca4d5fc5b5c859090a6c34d164135398226,414,0.08188291139240507
2015-10-17,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01,347,0.06863132911392406
2015-10-17,0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5,1127,0.22290348101265822
2015-10-17,0xf8b483dba2c3b7176a3da549ad41a48bb3121069,307,0.06071993670886076
2015-10-18,*Outros,2671,0.5401415571284125
2015-10-18,0x2a65aca4d5fc5b5c859090a6c34d164135398226,434,0.08776541961577351
2015-10-18,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01,361,0.07300303336703741
2015-10-18,0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5,1128,0.22810920121334682
2015-10-18,0xf8b483dba2c3b7176a3da549ad41a48bb3121069,351,0.07098078867542973
2015-10-19,*Outros,2681,0.5388944723618091
2015-10-19,0x2a65aca4d5fc5b5c859090a6c34d164135398226,449,0.09025125628140704
2015-10-19,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01,341,0.0685427135678392
2015-10-19,0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5,1141,0.2293467336683417
2015-10-19,0xf8b483dba2c3b7176a3da549ad41a48bb3121069,363,0.07296482412060301
2015-10-20,*Outros,2713,0.543687374749499
2015-10-20,0x2a65aca4d5fc5b5c859090a6c34d164135398226,502,0.10060120240480962
2015-10-20,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01,321,0.06432865731462926
2015-10-20,0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5,1091,0.2186372745490982
2015-10-20,0xf8b483dba2c3b7176a3da549ad41a48bb3121069,363,0.07274549098196392
2015-10-21,*Outros,2632,0.5274549098196393
2015-10-21,0x2a65aca4d5fc5b5c859090a6c34d164135398226,553,0.11082164328657315
2015-10-21,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01,334,0.06693386773547094
2015-10-21,0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5,1122,0.2248496993987976
2015-10-21,0xf8b483dba2c3b7176a3da549ad41a48bb3121069,349,0.06993987975951904
2015-10-22,*Outros,2521,0.521406411582213
